lon_g,lat_g
125.9296482,34.66582915
125.9296482,34.63316583
125.959799,34.60050251
125.9899497,34.60050251
126.0201005,34.5678392
126.0502513,34.53517588
126.080402,34.53517588
126.1105528,34.5678392
126.1105528,34.60050251
126.1407035,34.60050251
126.1708543,34.60050251
126.201005,34.60050251
126.2311558,34.5678392
126.201005,34.53517588
126.1708543,34.50251256
126.1105528,34.46984925
126.080402,34.43718593
126.080402,34.40452261
126.1105528,34.3718593
126.1407035,34.33919598
126.1708543,34.33919598
126.201005,34.33919598
126.2613065,34.3718593
126.321608,34.40452261
126.3819095,34.43718593
126.3819095,34.46984925
126.3819095,34.50251256
126.4120603,34.53517588
126.4422111,34.50251256
126.4422111,34.46984925
126.4422111,34.43718593
126.4723618,34.40452261
126.4723618,34.3718593
126.5025126,34.33919598
126.5025126,34.30653266
126.5326633,34.27386935
126.5628141,34.30653266
126.5929648,34.30653266
126.6231156,34.33919598
126.6532663,34.30653266
126.6834171,34.27386935
126.7135678,34.27386935
126.7437186,34.27386935
126.7738693,34.27386935
126.8040201,34.30653266
126.8341709,34.27386935
126.8643216,34.30653266
126.8944724,34.30653266
126.9246231,34.33919598
126.9547739,34.30653266
126.9849246,34.30653266
127.0150754,34.30653266
127.0452261,34.30653266
127.1055276,34.33919598
127.1055276,34.3718593
127.1055276,34.40452261
127.1356784,34.40452261
127.1658291,34.40452261
127.2261307,34.43718593
127.2562814,34.46984925
127.2864322,34.46984925
127.3165829,34.43718593
127.3467337,34.43718593
127.3467337,34.46984925
127.3768844,34.46984925
127.4070352,34.50251256
127.4371859,34.53517588
127.4371859,34.5678392
127.4673367,34.5678392
127.4974874,34.5678392
127.5276382,34.60050251
127.4974874,34.63316583
127.4673367,34.66582915
127.4070352,34.69849246
127.4070352,34.73115578
127.4070352,34.7638191
127.4070352,34.79648241
127.4371859,34.82914573
127.4673367,34.82914573
127.4974874,34.86180905
127.5276382,34.82914573
127.5276382,34.79648241
127.5577889,34.7638191
127.5577889,34.73115578
127.5276382,34.69849246
127.5276382,34.66582915
127.5577889,34.63316583
127.5879397,34.63316583
127.6180905,34.63316583
127.6482412,34.63316583
127.6482412,34.66582915
127.6482412,34.69849246
127.6482412,34.73115578
127.678392,34.73115578
127.7085427,34.69849246
127.7386935,34.69849246
127.7386935,34.73115578
127.7688442,34.73115578
127.7688442,34.7638191
127.7688442,34.79648241
127.798995,34.82914573
127.8291457,34.79648241
127.8291457,34.7638191
127.8291457,34.73115578
127.8592965,34.69849246
127.8894472,34.69849246
127.919598,34.73115578
127.9497487,34.69849246
127.9798995,34.69849246
128.0100503,34.69849246
128.040201,34.73115578
128.0703518,34.7638191
128.0703518,34.79648241
128.0703518,34.82914573
128.0703518,34.86180905
128.0703518,34.89447236
128.1005025,34.89447236
128.160804,34.89447236
128.1909548,34.89447236
128.2211055,34.92713568
128.2512563,34.92713568
128.281407,34.89447236
128.3417085,34.86180905
128.3115578,34.82914573
128.3718593,34.79648241
128.4020101,34.7638191
128.4321608,34.7638191
128.4623116,34.7638191
128.4924623,34.73115578
128.5226131,34.73115578
128.5527638,34.73115578
128.5829146,34.69849246
128.6130653,34.69849246
128.6432161,34.73115578
128.6733668,34.73115578
128.6733668,34.7638191
